ID,Tipo,SKU,Nombre,Publicado,¿Es destacado?,Visibilidad en catálogo,Descripción corta,Descripción,Fecha de inicio de oferta,Fecha de fin de oferta,Status de Impuesto,Clase de impuesto,¿En existencia?,Disponibilidad,¿Permitir sobre pedidos?,¿Vender individualmente?,Peso (kg),Largo (cm),Ancho (cm),Alto (cm),¿Permitir opiniones de los clientes?,Nota de compra,Precio de oferta:,Precio regular:,Categorías,Etiquetas,Clase de Envío,Imágenes,Límite de descarga,Caducidad en días de descarga,Padre,Productos agrupados.,Productos-complementarios (Up-Sells),Ventas Cruzadas,URL externa,Texto del botón,Posición,,
1,simple,,Boliana,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
2,simple,,Boliariel,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
3,simple,,Boliariel Sirena,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
4,simple,,Boliaurora,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
5,simple,,Bolibellita,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
6,simple,,Bolibeast,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
7,simple,,Boliblanca Nieves,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
8,simple,,Bolicienta,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
9,simple,,Bolielena,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
10,simple,,Bolielsa,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
11,simple,,Bolirapunsel,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
12,simple,,Bolitinker Bell,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
13,simple,,Bolivaliente,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,,PRINCESAS,,,,,,,,,,,,0,,
