ID,Tipo,SKU,Nombre,Publicado,¿Es destacado?,Visibilidad en catálogo,Descripción corta,Descripción,Fecha de inicio de oferta,Fecha de fin de oferta,Status de Impuesto,Clase de impuesto,¿En existencia?,Disponibilidad,¿Permitir sobre pedidos?,¿Vender individualmente?,Peso (kg),Largo (cm),Ancho (cm),Alto (cm),¿Permitir opiniones de los clientes?,Nota de compra,Precio de oferta:,Precio regular:,Categorías,Etiquetas,Clase de Envío,Imágenes,Límite de descarga,Caducidad en días de descarga,Padre,Productos agrupados.,Productos-complementarios (Up-Sells),Ventas Cruzadas,URL externa,Texto del botón,Posición
1,simple,,Bolicharizard,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Animales,,,,,,,,,,,,0
2,simple,,Bolimarciano,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Animales,,,,,,,,,,,,0
3,simple,,Bolicoco,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Animales,,,,,,,,,,,,0
4,simple,,Bolitroll,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Exclusivos,,,,,,,,,,,,0
5,simple,,Boliluigui,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Fiestas patrias,,,,,,,,,,,,0
6,simple,,Bolielefante,1,1,visible,,,,,taxable,,1,,0,0,,,,,1,,,,Exclusivos,,,,,,,,,,,,0
7,simple,,Boliconejo,1,1,visible,,,,,taxable,,1,,,,,,,,,,,,Animales,,,,,,,,,,,,
8,simple,,Bolileon,1,1,visible,,,,,taxable,,1,,,,,,,,,,,,Exclusivos,,,,,,,,,,,,
9,simple,,Bolipanda,1,1,visible,,,,,taxable,,1,,,,,,,,,,,,Fiestas patrias,,,,,,,,,,,,
10,simple,,Bolipollito,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Exclusivos,,,,,,,,,,,,
11,simple,,Boliangela,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Animales,,,,,,,,,,,,
12,simple,,Boliangelito,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Exclusivos,,,,,,,,,,,,
13,simple,,Boliangelito,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Fiestas patrias,,,,,,,,,,,,
14,simple,,Bolibrujita,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Exclusivos,,,,,,,,,,,,
15,simple,,Bolidiablo,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,Exclusivos,,,,,,,,,,,,
16,simple,,Bolicalaverita,1,0,visible,,,,,taxable,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
