ID	Tipo	SKU	Nombre	Publicado	¿Es destacado?	Visibilidad en catálogo	Descripción corta	Descripción	Fecha de inicio de oferta	Fecha de fin de oferta	Status de Impuesto	Clase de impuesto	¿En existencia?	Disponibilidad	¿Permitir sobre pedidos?	¿Vender individualmente?	Peso (kg)	Largo (cm)	Ancho (cm)	Alto (cm)	¿Permitir opiniones de los clientes?	Nota de compra	Precio de oferta:	Precio regular:	Categorías	Etiquetas	Clase de Envío	Imágenes	Límite de descarga	Caducidad en días de descarga	Padre	Productos agrupados.	Productos-complementarios (Up-Sells)	Ventas Cruzadas	URL externa	Texto del botón	Posición
1	simple		Bolicharizard	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
2	simple		Bolicharizard (Copia)	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
3	simple		Bolicharizard (C	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
4	simple		Prueba	1	1	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
5	simple		otro	1	1	visible					taxable		1		0	0					1				Fiestas patrias			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
6	simple		ejemplo	1	0	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
7	simple		Bolicharizard	1	0	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
8	simple		Bolicharizard (Copia)	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
9	simple		Bolicharizard (C	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
10	simple		Prueba	1	1	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
11	simple		otro	1	1	visible					taxable		1		0	0					1				Fiestas patrias			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
12	simple		ejemplo	1	0	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
13	simple		Bolicharizard	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
14	simple		Bolicharizard (Copia)	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
15	simple		Bolicharizard (C	1	1	visible					taxable		1		0	0					1				Animales			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
16	simple		Prueba	1	1	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
17	simple		otro	1	1	visible					taxable		1		0	0					1				Fiestas patrias			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
18	simple		ejemplo	1	0	visible					taxable		1		0	0					1				Exclusivos			http://localhost:8888/mundo-bolita/wp-content/uploads/2018/06/bolipayaso.png									0
